log_datetime page_of_speech row_index
2020-04-22 23:32:56 15 287
2020-04-22 23:33:28 15 288
2020-04-22 23:34:06 15 289
2020-04-22 23:34:40 15 290
2020-04-22 23:35:13 15 291
2020-04-22 23:35:50 15 292
2020-04-22 23:36:25 15 293
2020-04-22 23:37:07 15 294
2020-04-22 23:37:42 15 295
2020-04-22 23:38:24 15 296
2020-04-22 23:39:14 15 297
2020-04-22 23:39:52 15 298
2020-04-22 23:40:28 15 299
2020-04-22 23:41:20 16 300
2020-04-22 23:42:00 16 301
2020-04-22 23:42:40 16 302
2020-04-22 23:43:16 16 303
2020-04-22 23:43:51 16 304
2020-04-22 23:44:24 16 305
2020-04-22 23:45:00 16 306
2020-04-22 23:45:33 16 307
2020-04-22 23:46:06 16 308
2020-04-22 23:46:41 16 309
2020-04-22 23:47:19 16 310
2020-04-22 23:47:56 16 311
2020-04-22 23:48:28 16 312
2020-04-22 23:49:01 16 313
2020-04-22 23:49:38 16 314
2020-04-22 23:50:12 16 315
2020-04-22 23:50:47 16 316
2020-04-22 23:51:19 16 317
2020-04-22 23:51:54 16 318
2020-04-22 23:52:29 16 319
2020-04-22 23:53:21 17 320
2020-04-22 23:53:54 17 321
2020-04-22 23:54:27 17 322
2020-04-22 23:55:00 17 323
2020-04-22 23:55:33 17 324
2020-04-22 23:56:06 17 325
2020-04-22 23:56:39 17 326
2020-04-22 23:57:13 17 327
2020-04-22 23:57:47 17 328
2020-04-22 23:58:23 17 329
2020-04-22 23:58:57 17 330
2020-04-22 23:59:30 17 331
2020-04-23 00:00:04 17 332
2020-04-23 00:00:40 17 333
2020-04-23 00:01:21 17 334
2020-04-23 00:01:56 17 335
2020-04-23 00:02:33 17 336
2020-04-23 00:03:08 17 337
2020-04-23 00:03:42 17 338
2020-04-23 00:04:19 17 339
2020-04-23 00:05:18 18 340
2020-04-23 00:06:01 18 341
2020-04-23 00:06:43 18 342
2020-04-23 00:07:19 18 343
2020-04-23 00:08:01 18 344
2020-04-23 00:08:37 18 345
2020-04-23 00:09:11 18 346
2020-04-23 00:09:49 18 347
2020-04-23 00:10:32 18 348
2020-04-23 00:11:12 18 349
2020-04-23 00:11:48 18 350
2020-04-23 00:12:25 18 351
2020-04-23 00:12:59 18 352
2020-04-23 00:13:32 18 353
2020-04-23 00:14:06 18 354
2020-04-23 00:14:42 18 355
2020-04-23 00:15:18 18 356
2020-04-23 00:15:52 18 357
2020-04-23 00:16:25 18 358
2020-04-23 00:16:57 18 359
2020-04-23 00:17:49 19 360
2020-04-23 00:18:21 19 361
2020-04-23 00:18:56 19 362
2020-04-23 00:19:30 19 363
2020-04-23 00:20:02 19 364
2020-04-23 00:20:35 19 365
2020-04-23 00:21:08 19 366
2020-04-23 00:21:41 19 367
2020-04-23 00:22:14 19 368
2020-04-23 00:22:48 19 369
2020-04-23 00:23:20 19 370
2020-04-23 00:23:54 19 371
2020-04-23 00:24:30 19 372
2020-04-23 00:25:06 19 373
2020-04-23 00:25:39 19 374
2020-04-23 00:26:13 19 375
2020-04-23 00:26:47 19 376
2020-04-23 00:27:23 19 377
2020-04-23 00:27:59 19 378
2020-04-23 00:28:34 19 379
2020-04-23 00:29:26 20 380
2020-04-23 00:30:00 20 381
2020-04-23 00:30:33 20 382
2020-04-23 00:31:07 20 383
2020-04-23 00:31:40 20 384
2020-04-23 00:32:16 20 385
2020-04-23 00:32:51 20 386
2020-04-23 00:33:27 20 387
2020-04-23 00:34:02 20 388
2020-04-23 00:34:36 20 389
2020-04-23 00:35:09 20 390
2020-04-23 00:35:42 20 391
2020-04-23 00:36:16 20 392
2020-04-23 13:49:01 20 393
2020-04-23 13:49:49 20 394
2020-04-23 13:50:53 20 395
2020-04-23 13:51:39 20 396
2020-04-23 13:52:37 20 397
2020-04-23 13:53:34 20 398
2020-04-23 13:54:41 20 399
2020-04-23 13:56:07 21 400
2020-04-23 13:56:55 21 401
2020-04-23 13:57:38 21 402
2020-04-23 13:58:25 21 403
2020-04-23 13:59:10 21 404
2020-04-23 13:59:53 21 405
2020-04-23 14:00:59 21 406
2020-04-23 14:02:01 21 407
2020-04-23 14:42:21 21 408
2020-04-23 14:42:56 21 409
2020-04-23 14:44:04 21 410
2020-04-23 14:44:42 21 411
2020-04-23 14:45:48 21 412
2020-04-23 14:46:55 21 413
2020-04-23 14:47:29 21 414
2020-04-23 14:48:06 21 415
2020-04-23 14:48:48 21 416
2020-04-23 14:50:08 21 417
2020-04-23 14:50:45 21 418
2020-04-23 14:51:42 21 419
2020-04-24 10:52:23 2 420
2020-04-24 14:37:42 1 421
2020-04-24 14:40:40 7 422
2020-04-24 14:41:18 7 423
2020-04-24 14:42:30 8 424
2020-04-24 14:44:27 9 425
2020-04-24 14:45:32 10 426
2020-04-24 14:46:27 10 427
2020-04-24 15:11:06 7 428
2020-04-24 15:11:44 7 429
2020-04-24 15:13:49 8 430
2020-04-24 15:15:03 9 431
2020-04-24 15:16:01 10 432
2020-04-24 15:17:24 10 433
2020-04-24 15:17:58 10 434
2020-04-24 15:19:36 10 435
2020-04-24 15:21:31 10 436
2020-04-24 15:22:40 11 437
2020-04-24 15:23:29 11 438
2020-04-24 15:25:19 11 439
2020-04-24 15:26:21 12 440
2020-04-24 15:38:51 7 441
2020-04-24 15:40:09 7 442
2020-04-24 15:43:38 7 443
2020-04-24 15:44:14 7 444
2020-04-24 15:46:37 8 445
2020-04-24 15:48:25 9 446
2020-04-24 15:49:23 10 447
2020-04-24 15:50:10 10 448
2020-04-24 15:56:59 7 449
2020-04-24 15:57:34 7 450
2020-04-24 16:02:20 7 451
2020-04-24 16:02:56 7 452
2020-04-24 16:15:45 7 453
2020-04-24 16:16:18 7 454
2020-04-24 16:18:49 8 455
2020-04-24 16:21:12 9 456
2020-04-24 16:22:30 10 457
2020-04-24 16:24:21 10 458
2020-04-24 16:24:57 10 459
2020-04-24 16:26:58 10 460
2020-04-24 16:28:51 10 461
2020-04-24 16:29:46 11 462
2020-04-24 16:31:38 11 463
2020-04-24 16:33:20 11 464
2020-04-24 16:34:22 12 465
2020-04-24 16:35:59 12 466
2020-04-24 16:37:08 13 467
2020-04-24 16:38:41 13 468
2020-04-24 16:39:57 13 469
2020-04-24 16:41:21 13 470
2020-04-24 16:42:27 14 471
2020-04-24 20:32:51 14 472
2020-04-24 20:34:43 15 473
2020-04-24 20:36:32 15 474
2020-04-24 20:39:50 15 475
2020-04-24 20:43:18 19 476
2020-04-24 20:44:57 19 477
2020-04-24 21:19:08 19 478
2020-04-24 21:21:49 19 479
2020-04-25 15:57:28 20 479
2020-04-25 15:58:31 21 480
